referencia;temp-media-sp;temp-media-rj;temp-media-mg
2018-07-15;18;21;19
2018-07-16;19;23;19
2018-07-17;17;21;19
2018-07-18;18;23;19
2018-07-19;19;23;19
2018-07-20;20;23;20
2018-07-21;17;23;20
2018-07-22;14;23;19
2018-07-23;18;22;18
2018-07-24;15;22;18
2018-07-25;16;22;18
2018-07-26;17;22;18
2018-07-27;18;22;19
2018-07-28;19;23;19
2018-07-29;21;24;19
2018-07-30;16;23;20
2018-07-31;14;21;21
2018-08-01;12;21;20
2018-08-02;14;19;19
2018-08-03;15;19;19
2018-08-04;16;21;18
2018-08-05;15;22;19
2018-08-06;13;20;21
2018-08-07;12;18;19
2018-08-08;16;20;21
2018-08-09;18;22;20
2018-08-10;14;21;21
2018-08-11;13;20;20
2018-08-12;12;20;19
2018-08-13;13;20;18
2018-08-14;15;20;19
2018-08-15;13;20;21
2018-08-16;14;20;19
2018-08-17;13;20;18
2018-08-18;15;20;18
2018-08-19;17;21;19
2018-08-20;19;22;20
2018-08-21;16;22;19
2018-08-22;17;22;20
2018-08-23;20;24;20
2018-08-24;21;25;21
2018-08-25;18;24;21
2018-08-26;11;20;22
2018-08-27;11;18;19
2018-08-28;15;20;18
2018-08-29;17;21;19
2018-08-30;20;23;19
2018-08-31;22;25;20
2018-09-01;20;25;22
2018-09-02;19;25;22
2018-09-03;18;23;23
2018-09-04;13;22;21
2018-09-05;11;20;19
2018-09-06;12;20;20
2018-09-07;16;21;21
2018-09-08;15;21;20
2018-09-09;15;21;20
2018-09-10;16;22;21
2018-09-11;15;21;22
2018-09-12;15;21;21
2018-09-13;16;22;20
2018-09-14;16;22;20
2018-09-15;17;22;18
2018-09-16;15;22;20
2018-09-17;16;20;20
2018-09-18;20;24;20
2018-09-19;22;26;22
2018-09-20;19;25;21
2018-09-21;19;24;21
2018-09-22;19;23;23
2018-09-23;21;25;24
2018-09-24;19;25;25
2018-09-25;18;25;25
2018-09-26;21;27;23
2018-09-27;20;26;24
2018-09-28;18;24;25
2018-09-29;19;24;23
2018-09-30;20;26;22
2018-10-01;20;26;23
2018-10-02;22;28;22
2018-10-03;22;27;25
2018-10-04;19;26;26
2018-10-05;15;22;24
2018-10-06;15;20;22
2018-10-07;16;21;20
2018-10-08;18;24;23
2018-10-09;22;24;24
2018-10-10;20;26;25
2018-10-11;18;23;26
2018-10-12;18;24;24
2018-10-13;22;28;26
2018-10-14;17;23;26
2018-10-15;17;22;23
2018-10-16;18;22;23
2018-10-17;21;24;24
2018-10-18;22;25;22
2018-10-19;18;25;21
2018-10-20;15;22;21
2018-10-21;15;20;19
2018-10-22;17;23;20
2018-10-23;19;24;22
2018-10-24;16;24;23
2018-10-25;18;22;21
2018-10-26;19;23;23
2018-10-27;21;26;21
2018-10-28;15;23;23
2018-10-29;15;20;20
2018-10-30;17;23;22
2018-10-31;20;26;23
2018-11-01;20;26;23
2018-11-02;19;24;23
2018-11-03;23;28;25
2018-11-04;17;25;22
2018-11-05;16;21;21
2018-11-06;17;22;20
2018-11-07;17;24;22
2018-11-08;16;21;19
2018-11-09;18;21;16
2018-11-10;19;24;19
2018-11-11;20;26;21
2018-11-12;20;26;23
2018-11-13;23;27;24
2018-11-14;26;29;24
2018-11-15;22;29;23
2018-11-16;18;24;22
2018-11-17;18;24;23
2018-11-18;22;28;23
2018-11-19;16;24;22
2018-11-20;15;19;20
2018-11-21;16;21;18
2018-11-22;20;25;20
2018-11-23;22;28;21
2018-11-24;21;28;21
2018-11-25;19;28;19
2018-11-26;18;23;22
2018-11-27;17;23;21
2018-11-28;19;24;22
2018-11-29;21;26;23
2018-11-30;23;28;24
2018-12-01;21;27;20
2018-12-02;20;26;21
2018-12-03;17;24;20
2018-12-04;21;25;22
2018-12-05;22;27;24
2018-12-06;18;25;24
2018-12-07;18;22;22
2018-12-08;15;20;21
2018-12-09;17;21;19
2018-12-10;21;25;20
2018-12-11;24;28;22
2018-12-12;26;29;24
2018-12-13;24;30;23
2018-12-14;24;30;25
2018-12-15;25;30;26
2018-12-16;24;29;25
2018-12-17;26;30;25
2018-12-18;26;31;26
2018-12-19;23;29;27
2018-12-20;25;29;26
2018-12-21;25;28;25
2018-12-22;23;30;23
2018-12-23;22;29;24
2018-12-24;21;26;24
2018-12-25;20;24;22
2018-12-26;20;24;22
2018-12-27;20;24;20
2018-12-28;21;26;20
2018-12-29;22;27;20
2018-12-30;22;28;21
2018-12-31;22;28;21
2019-01-01;22;28;21
2019-01-02;25;28;24
2019-01-03;26;31;24
2019-01-04;23;31;22
2019-01-05;21;28;23
2019-01-06;22;28;25
2019-01-07;25;31;25
2019-01-08;26;32;24
